question,answer,image_id
what is the object close to the wall,whiteboard,image630
what is in front of the book rack,chair,image483
what is near the lamp,sofa,image151
what is on sofa,pillow,image255
what is the colour of the chair at the right of the sofa,blue,image1263
what is the colour of the table and chairs,brown,image1404
what is present on the wall near the door,light_switch,image1018
what is the colour of the knob of the bottom drawer,pink,image691
what is hanging on the wall,picture,image1042
what is the largest object,sofa,image1083
what is the object on the table,television,image602
what is on the shelf of the white board,"whiteboard_eraser, whiteboard_marker",image631
what is to the right of the sofa,table,image1325
what is the object close to the wall right of the screen,picture,image1075
what is front of the shelf,stool,image102
what is the object on the floor below the picture,sofa,image43
how many white candles are there,3,image1428
what is the white object on the floor next to the wall,toilet_paper,image59
what is the object at the left side of the towel rod,curtain,image693
what is stuck on the wall,photo,image1398
what is on the door,mirror,image1155
what is on the left side of the piano,bag,image1209
how many pictures are there close to the wall,2,image913
what is the object in front of the wall behind the sofa,toys_shelf,image1245
what is on the handle of the dishwasher,kichen_towel,image848
how many white clothes are visible,5,image1007
what is behind the sofa,window,image1277
what is in between the sinks,ornamental_item,image661
what is on the wall,picture,image732
what is the object close to the wall above the stove,microwave,image867
what is to the right of the table,shelves,image332
what is behind the table,plastic_tray,image342
what is the colour of the seat of the chair,white,image888
what is on the table,fruit,image569
what is on the left side of the table,bed,image929
what is left of bed,shelves,image538
what is right to the computer,mirror,image964
what is seen in the reflection of the mirror,"towel, bottle_of_liquid, cream_tube, tissue",image710
what are found behind the sofa,"chair, table",image1227
what colour are the utensils,brown,image230
what are the objects on the shelf,books,image1145
how many knobs are there on the bed,2,image1111
how many chairs are there,1,image30
what is found on the right side of the door,window,image1107
what is the object on the floor in front of the wall,sofa,image1083
what are the objects kept on the table,books,image85
what are the things on the cabinet,"clothes, photo, paper",image1430
what is at the left side of the door,table,image1061
what is on the right side of the broom,chair,image832
what is the largest object,table,image1344
what is on the right side of the table,window,image369
what is beneath the stove,dishwasher,image754
what is on the floor,floor_mat,image1280
what is the colour of the sink,white,image664
what is above sink,tissue_roll,image251
what is the object on the table,photo,image913
what is colour of table,blue,image293
what is in front of the night stand,bag,image525
what is on the bed,comforter,image1105
what color is the rocking chair,brown,image1106
what is on the night stand,"book, alarm_clock",image1199
what is behind the clothes,door,image542
what is found on the coffee table,flower_pot,image1289
what is to the right of the sofa,table,image368
what is on the left side of the vase,stand,image878
what is found under the table,toy,image962
how many shelves does the bookcase have,4,image607
what is visible in the sink,bowl,image133
what is to the left of the sofa,chessboard,image348
what is on the pink bag,"book, paper",image1155
what is the colour of the pillows,"red, white, blue",image1176
what is to the right of the night lamp,tissue_box,image174
what is the object on the counter right of the cup rack,coffee_machine,image862
what is behind the cabinet,window,image1438
what is the black object on the top of the cabinet on the right side of the refrigerator,electrical_kettle,image843
what fruit is found on the table,banana,image840
what is stuck on the top of the sink,mirror,image664
what is the most colorful object in this picture,rug,image285
what are found below the photos,cloth_bag,image913
what object is found in the plastic bag,hamburger_bun,image860
what is on the left side,bed,image1169
how many chairs are there,2,image470
what are the objects on the floor,"basket, table, chair, machine",image492
what is the colour of the pillow on the gray sofa,"gray, red",image1205
what is found on the top,chandelier,image1353
how many blackboards are,3,image122
what is the object on top of the rack,"candle, bowl, banana",image52
what is on the wall,picture,image942
what is on the night stad,"paper, book",image1192
what is the big object on the big dark brown dresser,television,image1193
how many drawers are there,2,image779
what is the object close to the wall above the stove burner,microwave,image126
what is kept on the bottom rack,books,image1307
what is the object close to the wall right of the table,framed_certificate,image476
what is the colour of the door,blue,image578
what is the colour of the racket,black,image642
what is on the bed,"blanket, pillow",image73
what is the largest object,cabinet,image1159
how many containers found,3,image657
how many electric toothbrushes are close to the sink,3,image509
how many cups are there near the ornamental plant,2,image803
what is on the right side of the book rack,drying_stand,image517
what is the yellow object close to the faucet,dish_brush,image204
what are the objects found on the left side bookshelf,"toys_basket, photo, books",image1146
what is on top of the bed,pillow,image1029
what is the object close to the wall,cabinet,image63
what are available on the steel rack,cup,image101
what is on the right side of the sink,carton,image885
what is on the wall,"mirror, picture",image1085
what is the object right of the table in the middle of the room,room_divider,image30
what are the objects on the shelf,books,image90
what is the object in the right side of the faucet and in front of the mirror,bottle_of_soap,image702
what is the colour of the chair,brown,image915
what are the things found on the cabinet,"book, file, lamp",image1157
what is the object hanging on the hangers,jacket,image99
what is behind sofa,table,image270
what is the largest object,bed,image987
what is in the basket,clothes,image543
how many chairs seen,5,image1359
what is below the table,garbage_bin,image525
what is above books,window,image548
what is the object close to the counter,sink,image883
what is the colour of draw handle,black,image741
what is left of bed,shelves,image281
what is on the left side of the sofa,garbage_bin,image1311
what is the largest object,sofa,image1258
what is the object on the floor in front of the window,sofa,image1267
what is at the top right corner,cabinet,image1221
what is at the right side,coffee_table,image1444
what is available next to the door onto its left side,mirror,image1015
what is the object found left side,bed,image1119
what are the objects on the table close to the wall,"fan, pen_holder, bottle, pen, pencil, paper, hand_sanitizer",image77
how many drawers are there,4,image928
what objects are found below the window,"vase, sink, monitor, bottle",image903
what is found above the table,chandelier,image1434
what object is found opposite to the plastic box,"oven, refridgerator",image854
what is in front of the table,chair,image1343
what colour is the shelf,brown,image576
what is the object on the floor in front of the bathtub,toilet,image744
what is the largest object,bed,image1014
what object is stuck on the right side wall,photo,image821
what is in front of the lamp,"pen_cup, pen",image614
how many handles are there,14,image818
what is to the left of the television,dvd_player,image177
what object is behind the table and monitor,water_cooler,image31
what is in front of bed,mirror,image515
how many chairs are,4,image5
what is in front of the chair in the table,briefcase,image610
what are the objects on the bed,"blanket, pillow",image909
what is the colour of the plastic tray,red,image813
what is the object close to the ceiling,light,image111
what is above the tap,mirror,image722
what is above the coffee table near the eggplant,incense_candle,image120
what is the gray object on the mattress below the blanket,pillow,image76
what is the largest object on the floor,sofa,image1325
what is is in between the chair and the exercise equipment,"cable_box, cables",image428
what is the object close to the towel rod,towel,image667
how many drawers are there,11,image796
what is stuck on the wall,wall_decoration,image1446
what is kept near the left bottom corner,pillow,image1010
what is in front of the sofa,table,image591
what is on the spatula holder,knife_rack,image762
what is behind the sofa,window,image1338
what is on the left side of the toilet,tissue_roll,image738
what is on the table,"picture, paper, book, pen_cup",image1154
what is the colour of the cloth on the comforter,"blue, gray",image79
what is the object close to the ceiling,spot_light,image28
how many computer mouses are in this picture,3,image336
what is the big black object on the dresser in front of the white wall,monitor,image63
what is the object behind the bed,lamp,image1138
what is the colour of the board on the wall behind the ladder,red,image18
what is found behind the table,stairs,image1363
what is in front of the computer,laptop,image625
what is at the centre of the wall,television,image642
what is the color of box that has nyu printed on it,white,image12
what is on the left side of the sink,bottle_of_liquid,image509
what is the object on the hangers,jacket,image94
what is on shelf,books,image517
what are stuck on the wall,photo,image1316
name one thing of the toiletries,bottle_of_hand_wash_liquid,image655
how many objects are there in the left corner of the bathtub,2,image696
how many pillows found on the floor,2,image971
what is in front of of the cereal box,bottle_of_liquid,image134
what is on the floor,floor_mat,image442
what is the largest object,cabinet,image564
what is the colour of the flower inside the vase,pink,image629
what are the sheets stuck to the door,paper,image10
what is to the right of the bed,night_stand,image926
what is the colour of the coffee pot,white,image800
what is the largest object,bed,image1163
what is on the left side of the rack,mirror,image990
what is to the right of the plant,sofa,image356
what is on the chair,jacket,image453
what is in front of the chair,bag,image445
what is the color of the chairs,blue,image6
what are the bottles kept on the spice rack,spice_bottle,image136
what is hung on the wall,wall_decoration,image1019
what is the colour of the laundry basket,blue,image406
what is on the right side of the bed,ironing_board,image968
what is the object found near the window,stool,image986
what is on the right side of the laptop,telephone,image623
how many celery curtains are there,1,image18
what is the object in the shelf,shoe,image72
what is on the right side of the notebook on the desk,plastic_cup_of_coffee,image4
what is the largest object,television,image597
how many red objects are there,1,image115
how many armchairs are there,1,image592
how many coloured shoe pairs are there,2,image763
what is the colour of the picture on the wall,green,image1289
what are the objects on the table,"cleaner, monitor, dvd_player",image62
what is on the table,"toy, lamp",image944
how many chairs are surrounding the table,8,image1429
what are the objects on the bed,"blanket, pillow",image927
how many chairs are there,12,image1396
what is in front of the blinds,keyboard,image1089
what is left of the copying machine,garbage_bin,image35
what is the wooden object in front of the radiator,dresser,image171
what is the object close to the wall,picture,image472
what is on the television,dvd_player,image1327
what is the flower shaped object on the toy sofa,pillow,image325
how many chairs are there,7,image1447
what is the colour of the garbage bin,white,image762
what is the object on the floor in front of the wall,refridgerator,image566
how many ceiling lights are there,6,image799
what is in front of the window,chair,image219
what is to the left of wall,garbage_bin,image8
what is the colour of the comforter,"blue, brown",image1098
how many chairs can you see,3,image773
what is the yellow object on the floor on the right side of the toy box,chair,image447
what is the object on which the fax machine is placed,counter,image10
what is on either side of the pictures,blinds,image913
how many remote controls are on the tv stand,1,image259
what is right of door,shelves,image715
what is the white colour object found in the left side,charger,image860
what object is found on the right side of the window,mirror,image990
what color is the pitcher close to the bowl,white,image198
what is on the left side of the blinds,lamp,image1269
what are the things found on the cabinet,"lamp, photo, books",image1183
what is on the night stand,lamp,image948
what object is found in the photo frame,flower,image861
what is on the left side of the table,fireplace,image1379
what is behind the table,candelabra,image1379
how many monitors are off in front of the window on the desk,3,image334
how many chairs are there away from the table,1,image1421
what is largest object,table,image1359
what are the things on the table,"notebook, decorative_bowl",image1286
how many drawers are there,3,image1040
what is behind the tea kettle,toaster,image874
what is on the top of the bed,photo,image1188
what is to right of garbage bin,toilet,image508
what is the colour of the clothes,black,image787
what is to left of sink,bottle,image720
what is behind the monitor,picture,image388
how many handles are seen,9,image1059
what is behind the sofa,window,image580
what is the object on the floor left of the table,bed,image528
what is near the window,curtain,image981
what is stuck on the wall above the cabinets,photo,image1172
how many top lights are there,3,image788
what is on the right side of the guitar,window,image1307
what is to the left of the clothes drier,washing_machine,image405
what is on the right side of the plastic cover,bottle,image783
what is on the right side of the kitchen utensils,tissue_roll,image813
what is the largest object,bunk_bed,image1160
what is on the bedding,"pillow, comforter",image1102
what is the object in maroon colour hanging near the bed,curtain,image1006
hat is on the bed,"sheet, pillow",image1151
what is above the stove,microwave,image562
what are the things on the cabinet,"photo, toy",image1165
what are the things on the cabinet,"papers, book",image1192
what is the object close to the wall,picture,image888
what is at the left bottom,cabinet,image1343
what is behind the baby chair,television,image402
what is found to the right side of the bed,door,image1105
what is hanging on the cabinet above the sink,ladel,image575
what is at the right side,cabinet,image1358
what is behind the right cpu,water_dispenser,image30
what is with blue and red combination,floor_mat,image316
what color are the cabinets,brown,image197
what is the colour of the table,"green, brown",image1244
what is the colour of the towel,green,image848
what is above the television,clock,image163
what is on the table,"plant, books, container",image1245
what is found in front of the mirror on the left top,light,image659
what is above the towel,picture,image667
what is the colour of the sofa,blue,image1142
how many objects on the corner of the bathtub,3,image692
what is on the floor,"machine, cables",image584
what is the colour of the object in the second shelf from top,blue,image1363
what is the object below the counter,cabinet,image896
what is beneath the wall hanging,"box, table",image1447
what is hung on the wall near the storage rack,mirror,image1044
what is in front of the tray,shoe_hanger,image1156
what is at the right most edge of the table,lamp,image66
what is the object close to the ceiling and in front of the window,projector_screen,image27
what is the object on the chair,pillow,image1119
what is behind the bed,curtain,image515
what is on the table left side of the chair,paper,image637
what object is hanged on the wall in the corner,photo,image1298
what is on the right side of the night stand,bed,image1148
how many knobs are there in the cabinet,10,image1153
how many pillows are there,2,image58
how many sinks are there,2,image671
what is on the right side of the tap,kitchen_utensils,image774
what is in front of the pillar,"bin, books",image109
what is below the light switch on the right side of the door,package_of_bottled_water,image159
what color is the rocking chair in front of the bookshelf,white,image400
what is on the table in front of the sofa,"book, decorative_item",image1304
what is on the right side of the lamp,cream_tube,image948
what is in front of stand,books,image548
what is in front of the laptop,mouse,image83
what is on the left side of the night stand,garbage_bin,image933
what is the largest object,bed,image1075
what is the object left of the screen,door,image594
what is the object on the dark brown desk and behind the lamp,monitor,image185
what is the colours of the towels,"gray, green",image717
what is at the left side,toys_shelf,image1361
what is the object on the sink table,tissue,image499
what is in front of the toilet,garbage_bin,image741
what is the object on the white wall behind the red chair,whiteboard,image33
what is on the bed,"pillow, clothes, bag",image1011
what is on the left side of the tap,bottle_of_liquid,image858
what is on the ceiling,light,image1257
how many knifes are there on the table,3,image753
what is on the right side of the doors,blinds,image1107
what is the biggest object on the table,book,image380
what is to the left of the shelf,drawer,image324
what is on the wall,picture,image902
how many column are in the tray,3,image317
what is at the right side of the lamp,cabinet,image1167
what is on the stool,box,image725
what is found below the mirror,table,image1111
what is on the right side of the rack,door,image72
what is in the second last column from the left in the last row of the shelf,bottle,image578
what is in front of the picture,"chair, table",image1442
what is on the cabinet,hat,image1054
what is to the right of the cabinet,bed,image1067
what is on the left side of the cair,excercise_ball,image426
what is behind the sink,tissue_roll,image717
what is in front of the sofa,table,image380
what is the object hung on the hanger,"shirts_in_hanger, bag",image90
what is hanged in front of the door,curtain,image1218
how many pillows are there,7,image1114
what colour is the wall,white,image235
how many ceiling lamps are on in the corridor,1,image15
what is the object on the floor in front of the bed,jacket,image1039
what is on the left side of the lamp,monitor,image585
what is the colour of the blinds,white,image1360
what is the object on the floor in front of the window,piano,image980
what is above the cables,tissue_roll,image759
how many drawer handle near the towel rod,3,image858
what are the things inside the display case,certificate,image1370
what is the colour of floor,gray,image288
what is behind the lamp,window,image1258
what is to the right of toilet,door,image506
what is the colour of the cloth bag,pink,image69
what is to left of chair,air_conditioner,image589
what is the object on the chair,jacket,image1053
what is the colour of the towel,white,image694
what object is found at the left bottom,floor_mat,image1273
what is in between the toys rack and the bags,toys_basket,image1155
what is on the right side of the table,jacket,image120
what is the object on the floor in front of the bed,toy,image1124
what is on the wall,spot_light,image1070
what is to the left side of the fireplace,door_way,image1208
what is left of board,shelves,image290
what is on the left side of the fireplace,door,image1259
what object is,"table, chair",image385
what is on the table,picture,image913
what is on the right side of the bottle of liquid,cell_phone_charger,image774
what is beneath the television,stand,image431
what is to the right of the shelf,door,image154
what object is on the floor on the left side,dog_cage,image1300
what is on the right side of the keyboard,mouse,image553
how many black chairs are there,1,image957
what is the object on the table,clock,image923
what are the colours of the clothes seen,"white, blue, black, gray",image95
what is the colour of the towel on the right side of the sink,yellow,image790
what is between the lamps,bed,image1110
how many handles are there,6,image835
what is above the television,dvd_player,image437
what is the object close on the floor,floor_mat,image45
how many windows are there,2,image699
what color is the doors of the cabinets,white,image206
what is behind the ironing table,blinds,image968
what is beneath the drawer,toy,image962
what is the object on the floor in front of the wall,toilet,image497
how many drawer knobs are visible,4,image524
what is behind the ornamental item,mirror,image661
what is the dining table made of,glass,image1440
what objects are found in the right of the bed,"toy_doll, toy_dog, lamp",image920
what is on the cabinet,television,image1090
what is on the left side of the wall,door,image1436
what are the objects on the shelves,books,image111
what is the object on the table,television,image980
what is on the pillows,toy,image933
what is at the left bottom,sofa,image1259
what is the black object on the counter close to the printer,tape_dispenser,image108
what is in front of the sofa,table,image630
what is left of chair,window,image531
what is the circular object on the table,fan,image929
what is to the left side of the bed,lamp,image1111
what is the object close to the wall,wall_decoration,image467
what is on the left side of the toilet,garbage_bin,image678
how many doors does the cupboard have,2,image1016
what is the colour of the chair,red,image599
what is on the chair,clothes,image955
what is near the computer,mouse,image112
what is the object on the floor left of the toilet,bathtub,image503
what is found on the top of the towel rod,photo,image667
what is to the left of sofa in corner,bookrack,image325
what is near the door,printer,image449
where are the toys kept in this picture,plastic_toy_container,image447
what is the largest object,refridgerator,image807
what is on the sofa,bag,image172
what is above the sink,toiletries,image648
what is in front of the wall,machine,image449
what is kept in the shoe rack,shoe,image1010
what is the object behind the chairs in the hangers,clothes,image118
what is behind the bed,window,image220
what are the things on the cabinet,candelabra,image1428
how many chairs are there,6,image832
what is on the floor,toy,image446
what is hanged in the wine rack,wine_glass,image158
what is on the left side of the bed,night_stand,image1133
what is above the microwave,basket,image560
what are the objects on the counter,"coffee_machine, hot_water_heater, cup",image862
what is in the right of the table,board,image339
what is in front of the window,sofa,image1280
what is the gray object close to the white board,curtain,image210
what is the object on the right side of the white machine,jug,image862
how many pillows are there,4,image518
what is the colour of the refridgerator,black,image799
what is the colour of the bag,"black, red",image934
what is found on the right top,cabinet,image1173
what is on the right side of the table,paper,image1373
what is the colour of the vase,brown,image681
how many rods stuck on the wall,3,image673
how many mirrors are there,2,image687
what is the colour of the trouser of the man,red,image850
what is present in the right side of the door,shirts_in_hanger,image1004
what is in front of the desk,sofa,image438
what is stuck on the wall,photo,image889
what is the colour of the bed sheet,pink,image937
what is the object close to the wall,poster_board,image450
what is on the right side of the bed,table,image418
what are found on the right side cabinet,"lamp, tissue_box",image1147
what color is the dresser below the white lamp shade,white,image248
what is the red object in front of the wall,lamp,image93
what is the object that is on the counter below the shelve rack,fan,image13
what is the largest object that is hung on the wall,picture,image50
what is left of the toilet,garbage_bin,image499
what is in front of the table,chair,image617
what are the objects found on the fireplace,photo,image1224
what is the colour of chair,brown,image745
what is to the left of steel rack,shelves,image103
what color are the chairs,blue,image307
what are the objects on the table,"laptop, mouse, books, paper",image83
what is the colour of the floor mat,red,image687
how many toys are on the bed,3,image280
what is the colour of the table,black,image1205
what are the objects on the table,"laptop, books, headphones, paper",image54
what is behind the plants,window,image459
what are the things on the table,"paper, bottle, box",image1407
how many photos are,22,image13
how many pictures are there close to the wall,3,image1440
how many brown pillows are there on the bed,2,image58
what is the biggest object on top of the table,lamp,image1030
what colors is the conference table,"brown, black",image271
what is the object found in the left side,window,image1138
what is on the end table between the chairs,book,image478
what is hanged before the window,curtain,image1399
what is colour of wall,white,image507
what is the object on the table,clothes,image1058
what is on the table,"bowl, paper",image842
what is the obejct on the bed,blanket,image920
what is on the right side of the table,night_stand,image1075
what color is the table below the printer but not below the tape dispenser or paper tray,brown,image16
what is the colour of the paper that is stuck on the left most side of the wall,black,image113
what is the largest object,table,image842
what is on the right side of the framed paper,decorative_item,image1393
what is the object to the right of the student,bottle,image305
what objects are right to the bed,"lamp, books, papers",image952
what is placed on the cabinet,lamp,image1133
what is the colour of the tray,blue,image308
how many frames are there on the wall,4,image1365
how many drawers are visible,4,image1051
what is stuck to the right side of the mirror,photo,image666
what is to the left of shelves,sofa,image372
what is the object on the floor,floor_mat,image678
how many drawers found open,1,image838
what is in front of sink,door,image511
what is on the table,"flower, vase",image1439
what is the object on the floor left of the bathtub,toilet,image501
how many bathroom basins are in this picture,2,image661
what are the objects on the shelves,books,image646
what is on the night stand,lamp,image941
what is on the left side of the decorative plate,paper,image1205
what is to the right of the table,sofa,image1278
how many chairs found on the left side,3,image843
what is on the right side of the bed,night_stand,image974
what is the colour of the garbage bin,brown,image827
what is the blue colour object on the table,bowl,image1205
what is on the wall,"picture, picture",image1429
what is on the shelf,tray,image308
what is on the left side of the sofa,table,image1233
what is the object in front of the whiteboard,chair,image33
what is the largest object,sofa,image210
what is to the right of the vase,door,image1122
what is behind the stool,table,image263
how many staplers are there on the light brown table under the bookshelf,2,image24
what is on the whiteboard,map,image120
what is on the left side of the globe,drawer,image979
what is on the cabinet,vase,image1296
what is at the left side of the window,bookshelf,image1195
what is the colour of the sofa,white,image1216
what is the red colour object on the bed,pillow,image978
what is on the left side of the broom,fan,image832
what are the sheets that are kept close on the shelves,paper,image11
how many blue pictures are there,2,image1255
what is the colour of towel,brown,image505
what is right of lamp,chair,image588
what is on the right side of the monitor,dvd_player,image612
what is on the table,"salt_shaker, bowl, decorative_plate, decorative_item",image1342
what is beneath the switch board,ornamental_plant,image1273
what is on the left side of the sofa,table,image372
what is to the left of the television stand,stacked_chairs,image164
how many drawers are there,6,image382
what is in the shelf,"container, bottle, cream",image977
what is on the right side of the black telephone and on the left side of the red chair,desk,image3
how many pictures are above the dark brown couch on the right side of the bookshelf,2,image51
what holds the globe,globe_stand,image481
what is the object on the floor below the sink,cabinet,image682
what is on the shelf,books,image254
what is in front of the television monitor,"bottle_of_liquid, dvd_player",image62
what is found below the storage rack,computer,image823
what is the colour of floor,brown,image260
what is the object close to the chair,jacket,image23
what is hanged before the window,blinds,image1355
what are stuck on the wall,"mirror, picture, light_switch",image653
what is the object close to the cabinet,bag,image1154
how many drawer knobs are visible,9,image1053
what is on the sofa,pillow,image261
what is the largest object,sofa,image607
what is the object behind the chair close to the wall,green_screen,image8
how many chairs are visible,3,image901
what is present behind the bed,window,image1041
what is on the either side of the bed,"night_stand, lamp",image959
what is on the floor in the room behind the clock,floor_mat,image351
what is behind the sofa,window,image386
what is the object found right bottom of the refridgerator,stool,image875
what is the object on the floor in front of the wall,stool,image1163
what are the things on the cabinet,"blanket, pillow",image1179
what is the colour of the books in the second last shelf,"white, blue, red",image480
what is in the shelves,book,image519
what is at the right corner of the table,headphones,image637
what is in between the sofas,table,image1297
what is at the right bottom corner,table,image1283
what are the objects close to the poster board,"paper, clock",image23
what is to the left of piano,guitar,image350
what is the object on the shelves,books,image99
what is on the audio system,cordless_phone,image1063
what is the object on the floor left of the table,cabinet,image552
what is the colour of the table mat,white,image814
how many pillows are there on the sofa,2,image644
what is the colour of rice cooker,white,image784
what is the colour of the chair,red,image26
what are the colours of the chairs,"red, blue",image1381
what is the colour of the sofa,gray,image1276
what is the type of the refridgerator,door,image843
what is on the table,picture,image1028
what is found in front of the window,faucet,image817
what is the largest object,bed,image1004
what is stuck on the wall,wall_decoration,image959
what color are the blinds,white,image441
what is at the centre of the chairs,table,image1334
what is on the right side of the book,bottle,image794
what is the brown object on the desk on the left side of the paper in fornt of the computer chair,paper_tray,image22
what object is found in between the storage rack and the cabinet,oven,image819
how many drawers are there,3,image686
what is at the top of the cabinet,photo,image1092
what is on the chair,pillow,image1371
what is on the right side of the table,chair,image637
what is behind the bed,curtain,image1183
what are found on the floor,"book, hat",image1064
what is on the left side of the tap,cup,image787
what object is found on the right side,lamp,image960
what is on the stove,kitchen_utensil,image572
what color is the door frame,brown,image548
what is the colour of the sheet,brown,image530
what is in front of the wall,table,image1428
what is object on the floor mat,table,image1242
what is the object close to the pillar on the floor,table,image116
how many black chairs are there,6,image19
how many chairs,3,image459
what is on the books,remote_control,image364
what is behind the cup,bottle_of_soap,image46
what is to the left of the chair,window,image360
what is to the right of the bunk bed,chair,image1054
what is reflected on the right side of the mirror on the wall,"towel_rod, towel",image665
what is stuck on the wall,photo,image1384
what is stuck on the wall,photo,image1235
how crest rails are behind the dining table,3,image1399
what is present on top of the storage rack,books,image1004
what is on the left side of the lamp,cordless_phone,image379
what objects are on the top of the table,"book, charger, wire",image1199
what is placed near the sink,hand_sanitizer,image724
what is on the table,"clothes, tissue_box",image1035
what color is the bed,brown,image535
what is the object on the shelf,photo,image1167
what is found behind the burner,door,image908
what is to the left of the shelf,toy_house,image322
how many chairs are there around the table,6,image550
how many pillows are there,2,image1133
what is on the television,dvd_player,image1223
what is beneath the table,drawer,image497
what is to the behind the sofa inside the room,chair,image1255
what are the objects stuck on the wall which is on the left side of sink,"photo, light_switch",image682
what is on the door,door_knob,image485
what is on the desk,book,image384
how many liquid bottles are there on the table,10,image4
what is at the centre of the ceiling lights,fan,image1335
what is the object found on the left,bed,image987
what is between the two black chairs on the floor,ottoman,image434
what is the colour of the book on the table,"green, white",image1400
what is the object on the floor in front of the room divider,stool,image833
what is the colour of liquid filled in bottle,green,image783
what is stuck on the wall,light_switch,image1109
how many speakers are there in the room,3,image5
what is the object in front of the sofa,table,image630
what is beneath the cot,"suitcase, bag",image82
what is above the bed,blinds,image1163
what is on the left side of the cream,lint_roller,image67
what is in front of the table,chair,image1277
how many red objects are there,4,image1309
what is the object on the floor in front of the wall,sofa,image50
what is on the left side of the toilet,tissue_roll,image726
what is behind the television right corner,photo,image981
what is on the right side of the lamp,bookshelf,image1100
what is hanged before the window,curtain,image1431
what is in blue colour,garbage_bin,image28
what is in front of the bed,television,image994
what is on the left most side on the sofa,clothes,image934
what is above the bed,fan,image969
what is on the right side of the bed,night_stand,image1171
what is the white object on the table,bowl,image1434
what is the object found on the bed,pillow,image980
what is on the left side of the wash basin,bottle_of_liquid,image46
what is on the left side of the oven,microwave,image789
what objects are found on the top right,"chair, table, photo",image1243
what is the green object in the right side of the brown door,curtain,image927
what is to the left of the bed,night_stand,image941
what is on the right side of the tap,cup,image575
what are the objects in the shelves,books,image472
what are the things inside the display case,decorative_item,image1423
what are found on the table,"monitor, telephone",image1081
what is on the bed,"pillow, clothes",image1083
what is the largest object,table,image20
what are around the dining table,chair,image1447
what object is found on the left side,wardrobe,image1000
what object is found to the left side of the sofa,bed,image971
how many black monitors are there,1,image29
what color is the sink,white,image48
how many faucet handles are there,2,image670
waht is the object close to the door,door_knob,image912
what is above the calendar,clock,image336
what is the colour of pillows on the chairs,"red, white",image1372
what is on the right side of the bottle of liquid,curtain,image649
what color are the stools under the table,"white, blue",image756
what is above the table,lamp,image758
what is left of chair,window,image277
what is beneath the curtains,blinds,image593
how many stairs are on the right side of the stair railing,2,image601
what is on the left side of the shoe,clothes,image1051
what is the object on the floor in front of the cabinet,garbage_bin,image876
what are found to the right side of the bed,"cabinet, bookshelf",image1144
what is on the wall,window,image539
what is on the drawer,cordless_phone,image984
what is to the left of the window,door,image341
what is in front of the microwave,hot_water_heater,image560
what is seen on the top of the rack,chandelier,image1346
what is in the right corner,mirror,image1271
what is on the piano,book,image1212
what are the objects on the table,books,image1283
what is kept near the right side lamp,file_box,image959
how many televisions are there,2,image981
what is on the sofa,pillow,image1284
how many kitchen towels are there,2,image847
what are the objects in the shelf,book,image51
what is in front of the window,clothing_hanger,image1087
what is on the table,papers,image373
what is on the wall on the left side of the room,whiteboard,image275
what is suspended from the ceiling,light,image875
how many knobs are viisble,5,image1436
what is on the wall,picture,image535
what is the object on the bed,pillow,image988
what is above the tap,mirror,image679
what is on the right side of the table,chair,image1312
what is near the photo frame,paper,image477
what are the things on the table,"file, photo",image1252
what is to the left of the chair,door,image796
what is the object on the bed,pillow,image1181
what is on the left side,window,image1347
what are the things found near the table,"container, bag",image1066
what is stuck close to every shelf frame,sticker,image106
what object is found near the sink,"vase, bottle",image825
what are the colours on the wall,"pink, green",image1100
what is the largest black object,sofa,image1187
what is the clothes hanging,scarf,image125
what is there on the floor in front of the bed,floor_mat,image1030
what is on the door,decoration_item,image922
what is in right front of the sofa,chair,image1276
what is the colour of the chairs surrounding the table,green,image441
what color is the whole circle on the whiteboard,green,image42
what is outside the window,"wall, plant",image1299
what is the largest object that is placed on the table,laptop,image4
what is on the left side of the hanger,blinds,image661
how many black coloured wall decorations are there,3,image1417
what is the colour of the towels on the table,"gray, white",image1441
what is object kept on the stove,aluminium_foil,image136
what is available in the middle of the door,glass_pane,image1004
what is at the opposite side of the bookshelf,cabinet,image1194
what is to the left of the sofa,table,image226
what is found on the table,"vase, books",image1302
what is below the shelf,table,image17
what is the object on the floor right of the bed,stool,image1075
what is stuck on the right side of the wall,mask,image1420
what is behind the chair,sofa,image547
how many cartons are there,4,image106
what is the object on the top right of the brown corck board,clock,image23
what is the colour of the largest object on the table,pink,image1069
which object the teacher is writing,whiteboard,image304
what is object close to the counter in the middle,stove,image907
what is on the left side of the fan,air_conditioner,image584
how many racks are visible,4,image1307
how many blue towels are there,2,image688
what is found on the right side,excercise_equipment,image1193
what are the objects close to the ceiling,spot_light,image92
what is the object on the floor right of the bed,stool,image998
what is on the chair,clothes,image23
where are the flowers kept,vase,image70
what is to the left of the vase,mirror,image1404
how many doors are for the shelf,4,image131
how many sofa are,2,image245
what is on the floor under the table,rug,image1425
what is the colour of the object which is near the tissue box,green,image677
what is behind the chair,doll_house,image444
what is the object on the floor surrounded by sofas,table,image1429
what is behind the table,sofa,image1286
what is at the top left corner,window,image1424
what is in front of the window in the table,table,image1352
what is behind the chair,laptop,image393
what is the object on the table,newspapers,image822
how many ladders are,1,image7
what is the object on the floor in front of the wall,cabinet,image75
what are the colours in the blanket,"purple, gray, white",image1127
what is the large brown object,dresser,image66
what is the object placed on a table below the bookshelf,flatbed_scanner,image16
